SSID,Location,Landmark,Floor,BSSID,Frequency (MHz),Bandwidth (MHz),Signal Strength dBm,Estimated Distance m,Capabilities
KcN,cse conference hall-2,near girls restroom,ground floor,54:07:7d:40:74:88,2462,20,-48,2.43,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-2,near girls restroom,ground floor,54:07:7d:54:9c:08,2437,20,-88,245.84,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-2,near girls restroom,ground floor,54:07:7d:50:b6:08,2412,20,-78,78.55,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-2,near girls restroom,ground floor,54:07:7d:40:74:a8,5280,40,-48,1.13,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall2 outside,near girls restroom,ground floor,54:07:7d:50:bb:c8,2462,20,-77,68.58,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall2 outside,near girls restroom,ground floor,54:07:7d:50:bb:e8,5745,40,-88,104.28,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall2 outside,near girls restroom,ground floor,54:07:7d:40:74:88,2462,20,-45,1.72,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall2 outside,near girls restroom,ground floor,54:07:7d:54:9c:28,5180,40,-53,2.06,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall2 outside,near girls restroom,ground floor,54:07:7d:51:91:68,5180,40,-54,2.31,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall2 outside,near girls restroom,ground floor,54:07:7d:50:b6:28,5180,40,-79,41.04,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall2 outside,near girls restroom,ground floor,54:07:7d:54:e9:28,5180,40,-83,65.04,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall2 outside,near girls restroom,ground floor,54:07:7d:3f:7e:08,2462,20,-83,136.84,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall2 outside,near girls restroom,ground floor,54:07:7d:3f:7e:28,5300,40,-89,126.83,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall2 outside,near girls restroom,ground floor,54:07:7d:40:74:a8,5280,40,-56,2.85,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall2 outside,near girls restroom,ground floor,54:07:7d:50:6f:68,5745,40,-89,117.01,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall2 outside,near girls restroom,ground floor,54:07:7d:54:c1:68,5260,40,-81,50.88,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-1 outside,near staff room,ground floor,54:07:7d:50:bb:c8,2462,20,-72,38.57,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-1 outside,near staff room,ground floor,54:07:7d:50:bb:e8,5745,40,-87,92.94,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-1 outside,near staff room,ground floor,54:07:7d:40:74:88,2462,20,-58,7.7,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-1 outside,near staff room,ground floor,54:07:7d:51:91:48,2412,20,-70,31.27,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-1 outside,near staff room,ground floor,54:07:7d:54:9c:08,2437,20,-72,38.96,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-1 outside,near staff room,ground floor,54:07:7d:54:9c:28,5180,40,-53,2.06,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-1 outside,near staff room,ground floor,54:07:7d:51:91:68,5180,40,-83,65.04,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-1 outside,near staff room,ground floor,54:07:7d:3f:be:c8,2412,20,-89,278.69,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-1 outside,near staff room,ground floor,54:07:7d:51:34:68,5180,40,-83,65.04,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-1 outside,near staff room,ground floor,54:07:7d:50:b6:08,2412,20,-80,98.88,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-1 outside,near staff room,ground floor,54:07:7d:40:74:a8,5280,40,-82,56.87,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-1 outside,near staff room,ground floor,54:07:7d:50:e7:28,5785,40,-89,116.2,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-1 outside,near staff room,ground floor,54:07:7d:54:c1:48,2412,20,-71,35.09,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse conference hall-1 outside,near staff room,ground floor,54:07:7d:54:c1:68,5260,40,-74,22.73,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse department office,near hod cabin,ground floor,54:07:7d:3f:a0:c8,2412,20,-57,7,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse department office,near hod cabin,ground floor,54:07:7d:40:bf:a8,5180,40,-88,115.66,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse department office,near hod cabin,ground floor,54:07:7d:3f:a0:e8,5180,40,-89,129.77,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse department office,near hod cabin,ground floor,94:a6:7e:a5:46:68,5785,40,-90,130.38,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse department office,near hod cabin,ground floor,54:07:7d:50:bb:e8,5745,40,-75,23.35,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse department office,near hod cabin,ground floor,54:07:7d:40:74:88,2462,20,-68,24.33,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse department office,near hod cabin,ground floor,54:07:7d:51:42:c8,2412,20,-72,39.37,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse department office,near hod cabin,ground floor,54:07:7d:40:bf:88,2412,20,-68,24.84,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse department office,near hod cabin,ground floor,54:07:7d:54:9c:08,2437,20,-34,0.49,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse department office,near hod cabin,ground floor,54:07:7d:40:9d:68,5765,40,-90,130.83,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse department office,near hod cabin,ground floor,54:07:7d:54:9c:28,5180,40,-32,0.18,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
KcN,cse department office,near hod cabin,ground floor,54:07:7d:3f:be:c8,2412,20,-75,55.61,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
